,Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP,Station Absolute Height,X Distance,Y Distance,Distance To Station,Altitude Delta,Azimuth To Station,Height Delta,Station Total Downtilt,Station Downtilt Delta,Vertical Degree
0,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414890,3392180,501,0,5,-98.5,532,-80.0,135.0,156.92354826475216,2,139.34933204294714,-31,12,0,11.174806682433848
1,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414960,3392250,501,0,6,-102.0,532,-10.0,205.0,205.24375751773792,2,167.2072976342867,-31,12,0,8.58902841518424
2,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414880,3391835,498,0,7,-102.0,532,-90.0,-210.0,228.47319317591726,-1,13.198590513648185,-34,12,0,8.464294177558896
3,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414850,3391865,497,0,13,-113.5,532,-120.0,-180.0,216.33307652783935,-2,23.69006752597977,-35,12,0,9.190111971193351
4,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414725,3392000,500,0,13,-106.0,532,-245.0,-45.0,249.09837414162303,1,69.59228868750995,-32,12,0,7.320312201446242
5,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414920,3391795,498,15,12,-94.0,532,-50.0,-250.0,254.95097567963924,-1,1.3099324740202007,-34,12,0,7.596086685998065
6,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414905,3391820,498,15,5,-105.0,532,-65.0,-225.0,234.2007685726074,-1,6.113418233089277,-34,12,0,8.260184135159028
7,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414950,3391765,499,0,6,-98.9,532,-20.0,-280.0,280.713376952364,0,-5.914383220025115,-33,12,0,6.70478295210054
8,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,415005,3391720,498,0,10,-118.0,532,35.0,-325.0,326.87918257362304,-1,-16.146625659646702,-34,12,0,5.938207697308944
9,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414985,3391740,499,0,5,-103.67,532,15.0,-305.0,305.3686296920494,0,-12.815556684211288,-33,12,0,6.1677965821580525
10,241301,414970.0,3392045.0,33,190,6,6,2585.0,12.2,499,0,6,414885,3391840,498,0,7,-102.5,532,-85.0,-205.0,221.92341021172146,-1,12.52056560289688,-34,12,0,8.710329263323743
